Reference,GitCommitMessage,Response
123,"fix(compiler-cli): Support resolve animation name from the DTS (#45107)
Before this, the compiler resolves the value in the DTS as dynamic.
If the `trigger` is imported from `@angular/animations`, this PR will
use FFR to simulate the actual implementation in JS and extracts the
animation name.
PR Close #45107",No
124,"ci: update SHA for components-repo-unit-tests job to fix flakiness (#45166)
This commit attemps to fix the flakiness that shows up sometimes
in the `components-repo-unit-tests` job. See:
https://app.circleci.com/pipelines/github/angular/angular/43024/workflows/fa9bc546-179a-4215-a7f1-db123efa0fa4/jobs/1126909
We updated Firefox/Chromium in dev-infra, hoping to fix this non-reproducable
flakiness (also checked memory/CPU consumption in the test). So far it looks like
the update helped in the COMP repo so we should try it here as well.
PR Close #45166",Yes.
125,"build: update scorecard action dependencies to 040feef (#45135)
PR Close #45135",No
126,"docs: replace deprecated `SwUpdate#available/activated` with new API (#44858)
Since `SwUpdate#available` and `SwUpdate#activated` are deprecated, the new way should be included in the docs instead of the deprecated one.
docs: added missing imports
added imports for VersionReadyEvent, filter, and map
docs: updated service-worker-communications.md
rewrite of SwUpdate service to describe the new versionUpdates property
docs: Apply suggestions from code review
Co-authored-by: George Kalpakas <kalpakas.g@gmail.com>
docs: added events
added VERSION_DETECTED and VERSION_INSTALLATION_FAILED
docs: Apply suggestions from code review
Co-authored-by: George Kalpakas <kalpakas.g@gmail.com>
PR Close #44858",Yes.
127,"perf(core): make `LOCALE_ID` and other tokens from `ApplicationModule` tree-shakable (#45102)
The `ApplicationModule` module has a number of tokens declared as non-tree-shakable providers. This commit updates them to make tree-shakable.
PR Close #45102",No
128,"perf(core): make `Compiler`, `ApplicationRef` and `ApplicationInitStatus` tree-shakable (#45102)
The `Compiler`, `ApplicationRef` and `ApplicationInitStatus` classes are registered as non-tree-shakable providers in the `ApplicationModule`. This commit converts them to the tree-shakable providers instead.
PR Close #45102",No
129,"refactor(core): drop unused `SCHEDULER` provider (#45102)
The `SCHEDULER` provider was used previously when both ViewEngine and Ivy code was present. After some prior refactoring, all references to the `SCHEDULER` token were removed, but the token itself remains present in the `ApplicationModule`, which makes it non-tree-shakable.
This commit removes the `SCHEDULER` token as unused.
PR Close #45102",No
130,"fix(docs-infra): make hamburger menu non focusable when not visible (#45067)
the header hamburger menu gets removed from the page by moving it
outside the screen, it can however still be accessed via keyboard
navigation, add a visibility hidden to the element to prevent such
behavior
PR Close #45067",Yes.
131,"docs(animations): remove query call in animations example (#45126)
the query call used for the transition between the Home and About tabs
doesn't work as intented since it doesn't find any matching element,
remove such quering since it is not needed
PR Close #45126",No
132,"docs(forms): remove `type` duplicate from `button` in reactive-forms example (#45124)
PR Close #45124",No
133,"build: update dependency io_bazel_rules_sass to v1.49.8 (#45128)
PR Close #45128",No
134,"docs: solve the problem with Dynamic Component guide example (#45123)
solve ExpressionChangedAfterItHasBeenChecked error by changing the angular lifecycle hook ngAfterViewInit to ngOnInit
resolves angular#44925
PR Close #45123",Yes, the text describes the reason for the change as solving an error with the ExpressionChangedAfterItHasBeenChecked.
135,"docs: fix test examples to use withContext (#45100)
PR Close #45100",No
136,"perf(core): avoid storing LView in __ngContext__ (#45051)
These changes combine #41358 and #41894.
Currently we save a reference to an `LView` on most DOM nodes created by Angular either by saving the `LView` directly in the `__ngContext__` or by saving the `LContext` which has a reference to the `LView`. This can be a problem if the DOM node is retained in memory, because the `LView` has references to all of the child nodes of the view, as well as other internal data structures.
Previously we tried to resolve the issue by clearing the `__ngContext__` when a node is removed (see https://github.com/angular/angular/pull/36011), but we decided not to proceeed, because it can slow down destruction due to a megamorphic write.
These changes aim to address the issue while reducing the performance impact by assigning a unique ID when an `LView` is created and adding it to `__ngContext__`. All active views are tracked in a map where their unique ID is used as the key. We don't need to worry about leaks within that map,  because `LView`s are an internal data structure and we have complete control over when they are  created and destroyed.
Fixes #41047.
PR Close #45051",Yes.
137,"release: cut the v14.0.0-next.3 release
",No
138,"docs: release notes for the v13.2.3 release
",No
139,"build: update scorecard action dependencies to c4e058a (#45036)
PR Close #45036",No
140,"test(zone.js): add integration test for zone.js Mocha patch (#45047)
Add integration test for `Mocha` patch from `zone.js` to verify the
issue #42384 is fixed
PR Close #45047",No
141,"fix(zone.js): patch global instead of Mocha object (#45047)
Close #42834
In the new version fo Mocha, all global test functions are from `global`
object instead of `Mocha` object. Adn the current `zone.js` Mocha
patch's logic looks like this.
```
global.describe = Mocha.describe = function() {
return originalMochaDescribe.apply(this, arguments);
}
```
and `originalMochaDescribe` is the unpathced Mocha implementation
looks like this
```
function describe() {
return context.describe(...);
}
```
And the `context` will finally delegate to `global.describe()`,
so the current `zone.js` patch causes infinite loop.
This commit will not patch function of `Mocha` object any longer.
PR Close #45047",No
142,"build: update all non-major dependencies (#45037)
PR Close #45037",No
143,"perf(animations): improve algorithm to balance animation namespaces (#45057)
The prior approach would consider all existing namespaces from back to front
to find the one that's the closest ancestor for a given host element. An
expensive `contains` operation was used which needed to traverse all the
way up the document root _for each existing namespace_. This commit implements
an optimization where the closest namespace is found by traversing up from
the host element, avoiding repeated DOM traversal.
Closes #45055
PR Close #45057",Yes. The reason for the change is to improve the algorithm to balance animation namespaces.
144,"build: update .pullapprove.yml (#45061)
Remove errant extra space in fw-compiler glob matcher.
PR Close #45061",No
145,"build: update angular (#45061)
PR Close #45061",No
146,"docs: clarify install of build schematics deps (#45104)
PR Close #45104",No
147,"docs: fix typos (#45103)
correct word 'questionaire' to 'questionnaire' in Building dynamic forms guide
PR Close #45103",Yes, there is a reason in the text for the described change.
148,"docs: fix case types guide (#45095)
fix case types guide text for more detailed guidance
PR Close #45095",Yes, the reason for the change is described in the text.
149,"docs: remove duplicate link (#45095)
The link to complete schema, is exactly the same as the one above
PR Close #45095",Yes, the reason given in the text is that the two links are duplicates.
150,"perf(core): make `IterableDiffers` and `KeyValueDiffers` tree-shakable (#45094)
This commit removed references to the `IterableDiffers` and `KeyValueDiffers` classes from the `ApplicationModule`, which effectively make them tree-shakable. Both classes have `prov` static field with the right setup, so they'll be properly initialized when referenced.
PR Close #45094",No
151,"docs(localize): fix angular.json syntax error about i18n (#45048)
In chapter internationlization at section ""Deploy multiple locales"" the
syntax for angular.json is wrong.
Close #45032
PR Close #45048",Yes.
152,"docs: fix grammatical error (#45092)
'an' is replaced with 'a' for the adjective 'straightforward'
resolves angular#45075
PR Close #45092",Yes, there is a reason in the text for the described change.
153,"test(animations): Fix e2e intermittent failures (#45083)
This addresses a problem with animations e2e tests that were failing intermittently due to a missing timeout value
PR Close #45083",Yes, the reason for the change is given in the text.
154,"docs: extend the LTS for ngUpgrade with a year (#45078)
PR Close #45078",No
155,"docs(animations): clarify information about query with `:leave` (#45059)
add information to the query api docs clarifying that elements with
a trigger can be queried via `:leave` when their parent is leaving
this exception is potentially something to be changed (see #45058)
but for the time being the docs can be updated to make the users
aware of such behavior
PR Close #45059",Yes.
156,"docs: change dependencies to devDependencies in document  (#45053)
after installing @angular/localize package, it will be placed in devDependencies object
PR Close #45053",Yes.
157,"feat(core): move ANIMATION_MODULE_TYPE injection token into core (#44970)
Moves the `ANIMATION_MODULE_TYPE` DI token into core so that libraries like Material don't have to introduce a dependency to animations only to figure out whether animations are disabled.
PR Close #44970",Yes.
158,"fix(common): cleanup URL change listeners when the root view is removed (#44901)
The `Location` creates the `_urlChangeSubscription` when the `onUrlChange` is called for the first time.
The subscription `next` function captures `this` and prevents the `Location` from being garbage collected
when the root view is removed.
PR Close #44901",No
159,"fix(docs-infra): fix broken link in Glossary (#45068)
Fix broken link in Glossary document
PR Close #45068",Yes, the reason for the change is given in the text.
160,"docs(animations): improve aio animations guides info around :enter/:leave (#44550)
improve the aio animations guide information around elements entering and
leaving, this includes, querying them, their transitions and also improvements
to the animations guide live examples
PR Close #44550",Yes
161,"build(docs-infra): upgrade cli command docs sources to ac175ff10 (#45065)
Updating [angular#master](https://github.com/angular/angular/tree/master) from
[cli-builds#master](https://github.com/angular/cli-builds/tree/master).
##
Relevant changes in
[commit range](https://github.com/angular/cli-builds/compare/be7c79b5a...ac175ff10):
**Modified**
- help/extract-i18n.json
PR Close #45065",No
162,"refactor(docs-infra): replace deprecated toPromise usages (#45045)
This commit replaces deprecated `Observable.toPromise` usages
with `lastValueFrom`.
PR Close #45045",Yes.
163,"refactor(docs-infra): replace deprecated subscribe usages (#45046)
This commit replaces deprecated `Observable.subscribe` usages.
PR Close #45046",Yes.
164,"build: update angular (#45049)
PR Close #45049",No
165,"build: update angular (#45011)
PR Close #45011",No
166,"refactor(http): deprecated symbol used (#44985)
Support for passing an error value to ""throwError"" method will be removed in v8 of rxjs. More info at https://rxjs.dev/api/index/function/throwError#throwerror
PR Close #44985",No
167,"perf(animations): made errors in the animations package tree shakeable (#45004)
This moves all the error strings into exported functions that can be tree shaken away.
PR Close #45004",No
168,"build: update .pullapprove.yml (#45007)
Add aleksanderbodurri@ to the list of require minimum reviews to allow for
approvals to count for that minimum requirement as well.
PR Close #45007",Yes.
169,"docs: improve try-it-now card focus area (#45002)
the focus/interactable area for the try-it-now card is wider than
necessary, reduce such width to the appropriate size
PR Close #45002",No
170,"docs: remove aikidave@ from contributors.json as part of offboarding (#45006)
PR Close #45006",No
171,"build: update .pullapprove.yml (#45006)
Remove aikidave@ from pull approve config as part of offboarding.
PR Close #45006",Yes, the reason for the change is given in the text.
172,"build: update scorecard action dependencies to 7f9dca2 (#45026)
PR Close #45026",No
173,"fix(zone.js): fix several test cases which trigger `done()` multiple times (#45025)
Several test cases trigger the `done()` multiple times and cause warning
from jasmine. This commit fixes these test cases.
PR Close #45025",Yes. The reason is that several test cases were triggering `done()` multiple times, causing warnings from jasmine.
174,"fix(zone.js): async-test should only call done once (#45025)
`AsyncTestZoneSpec` triggers jasmine `done()` function multiple times
and causes warning
```
An asynchronous function called its 'done' callback more than once. This is a bug in the spec, beforeAll, beforeEach, afterAll, or afterEach function in question. This will be treated as an error in a future version. See<https://jasmine.github.io/tutorials/upgrading_to_Jasmine_4.0#deprecations-due-to-calling-done-multiple-times> for more information
```
The reproduce case will be running some `Zone.run()` inside
`waitForAsync()`.
```
it('multiple done', waitForAsync(() => {
Zone.current.run(() => {});
Zone.current.run(() => {});
}));
```
The reason the `done()` is called in the `onInvoke()` hook is to handle
the case that the testBody is totally sync, but we should only do this
check for the entry function not for all `Zone.run()` scenario.
Another issue is if we run nested zone inside `waitForAsync()`, the
`onHasTask()` hook will be triggered multiple times, and cause `done()`
be triggered multiple times, so we need to only trigger the `done()`
when the zone is `AsyncTestZone`.
PR Close #45025",Yes.
175,"build: lock file maintenance (#44993)
PR Close #44993",No
176,"build: update dependency google-closure-compiler to v20220202 (#45013)
PR Close #45013",No
177,"build: update scorecard action dependencies to 230611d (#45012)
PR Close #45012",No
178,"docs(forms): improve email validator directive docs (#45014)
PR Close #45014",No
179,"fix(core): `ViewContainerRef.createComponent` should consult module injector when custom one is provided (#44966)
Before Ivy, it was only possible to call the `ViewContainerRef.createComponent` function with the ComponentFactory as the first argument. An instance of a `ComponentFactory` resolved via `ComponentFactoryResolver` contained a reference to an `NgModule` where the component is declared. As a result, the component maintained a DI connection with the module injector tree (by retrieving an instance of `NgModuleRef` internally), even when the custom injector was provided (we try to find a token in a custom injector first and consult module injector after that).
With Ivy, we expanded the `ViewContainerRef.createComponent` function API to support direct references to the Component classes without going through the factory resolution step. As a result, there was no connection to the NgModule that declares the component. Thus, if you provide a custom injector, this is the only injector that is taken into account.
This commit updates the logic for the factory-less case to try retrieving an instance of an `NgModuleRef` using the DI tree which `ViewContainerRef` belongs to. The `NgModuleRef` instance is then used to get a hold of a module injector tree. This brings the factory-less and factory-based logic to more consistent state.
Closes #44897.
PR Close #44966",No
180,"perf(compiler): chain element start/end instructions (#44994)
In templates with several levels of nested nodes, it's common for several `elementStart`/`elementEnd` instructions to show up in a row which can be optimized away.
These changes add chaining support for `elementStart`, `elementEnd`, `elementContainerStart` and `elementContainerEnd` to shave off some bytes when possible.
PR Close #44994",Yes. The reason for the change is to optimize away elementStart/elementEnd instructions in templates with several levels of nested nodes.
181,"refactor(compiler): rework instruction generation logic for improved flexibility (#44994)
Previously the logic for generating chained instructions was somewhat rigid, because we had to collect all of the calls ahead of time and then call one of the chained instruction helpers. This doesn't work for something like `elementStart`, because we have to descend into other elements that could add to the chain.
These changes refactor the code so that we collect the list of instructions in a flat array and we do the chaining only once at the end when we have the entire instruction set for the code block.
The new approach has the advantage of being (almost) entirely configuration-based via the `CHAINABLE_INSTRUCTIONS` array and being more flexible in allowing us to chain instructions that span across elements.
PR Close #44994",Yes.
182,"docs(common): mark lifecycle methods as nodoc (#45017)
PR Close #45017",No
183,"docs: release notes for the v13.2.2 release (#45019)
PR Close #45019",No
184,"docs: fix command to clear cache on Windows (#44988)
PR Close #44988",No
185,"refactor: one more CHANGELOG fixup. (#45010)
PR Close #45010",No
186,"refactor: CHANGELOG is poorly formatted for most recent version. (#45009)
PR Close #45009",No
187,"release: cut the v14.0.0-next.2 release (#45008)
PR Close #45008",No
188,"refactor(core): drop all `.ngfactory` and `.ngsummary` imports (#44957)
This commit updates various places in the repo (mostly tests/examples) to drop all `.ngfactory` and `.ngsummary` imports as they are no longer needed in Ivy.
PR Close #44957",No
189,"docs: add Cost-Effective Angular Testing (#44969)
to resources
PR Close #44969",No
190,"fix(forms): incorrectly keeping track of ngModel with ngFor inside a form (#40459)
When an `NgModel` is created within a `form`, it receives an `NgControl` based on its `name`, but
the control doesn't get swapped out if the name changes. This can lead to problems if the `NgModel`
is part of an `ngFor`, because the name can change based on its position in the list and a new
control can be defined with the same name, leading us to having multiple directives pointing to
the same control. For example, if we start off with a list like :
```
[0, 1, 2]; -> [NgModel(0), NgModel(1), NgModel(2)]
```
Then we remove the second item:
```
[0, 2]; -> [NgModel(0), NgModel(2)]
```
And finally, if we decide to add an item to the end of the list, we'll already have a control for
index 2, causing the list to look like:
```
[0, 2, 3]; -> [NgModel(0), NgModel(2), NgModel(2)]
```
These changes fix the issue by removing the old control when the `name` of the directive changes.
Fixes #38465.
Fixes #37920.
PR Close #40459",No
191,"build: update dependency @types/chrome to ^0.0.178 (#44982)
PR Close #44982",No
192,"refactor(forms): update `PatternValidator` to inherit `AbstractValidatorDirective` (#44887)
This commit updates the `PatternValidator` class to inherit `AbstractValidatorDirective` to make it conistent with other validators.
Closes angular#42267
PR Close #44887",Yes.
193,"fix(core): input coercion (#42803)
BREAKING CHANGE: Forms [email] input coercion
Forms [email] input value will be considered as true if it is defined with any value rather
than false and 'false'.
PR Close #42803",Yes, the change is described in the text.
194,"fix(compiler): allow banana-in-a-box bindings to end with non-null assertion (#37809)
For two-way-bindings that use the banana-in-a-box syntax, the compiler
synthesizes an event assignment expression from the primary expression.
It is valid for the primary expression to be terminated by the non-null
operator, however naive string substitution is used for the synthesized
expression, such that the `!` would immediately precede the `=` token,
resulting in the valid `!=` operator token. The expression would still
parse correctly but it doesn't implement the proper semantics, resulting
in incorrect runtime behavior.
Changing the expression substitution to force a space between the
primary expression and the assignment avoids this mistake, but it
uncovers a new issue. The grammar does not allow for the LHS of an
assignment to be the non-null operator, so the synthesized expression
would fail to parse. To alleviate this, the synthesized expression is
parsed with a special parser flag to allow for this syntax.
Fixes #36551
PR Close #37809",Yes.
195,"ci: group all scorecard action dependencies (#44998)
With this change we group all the scorecard action dependencies so that Renovate opens a single PR.
PR Close #44998",No
196,"docs(docs-infra): fix cosidered typo (#44987)
fix the ""cosidered"" typo (which should be ""considered"")
PR Close #44987",Yes, the reason for the change is to fix a typo.
197,"docs(router): clarify execution order for resolvers (#44995)
Fixes #44971
PR Close #44995",No
198,"build: update angular (#44981)
PR Close #44981",No
199,"perf(http): remove IE special status handling (#44354)
revert the condition as dev only
PR Close #44354",No
200,"refactor(core): cleanup `DebugNode` and `DebugElement` implementations (#44270)
This commit updates `DebugNode` and `DebugElement` implementaitons to cleanup ViewEngine removal artifacts. There is no need for a separate interface and implementation class, so we can combine them now. This comment also gets rid of `R3` suffixes (denoting Ivy) in helper methods.
PR Close #44270",No
201,"feat(common): support years greater than 9999 (#43622)
Since According to ISO8601 the Year is minimum of 4 digits, we should support years greater than 9999. (This is similar to the change in input.js: https://github.com/LeeAdcock/angular.js/commit/e157d6fa69fecbee766e109c6b452f629bc00c8a)
Changed /^(\d{4}) to /^(\d{4,})
PR Close #43622",Yes.
202,"docs: correct typo (#44793)
Service worker card contains typo 'us' when it should be 'use.'
PR Close #44793",Yes, there is a reason in the text for the described change.
203,"refactor(dev-infra): convert nullish coalescing operator to plain javascript (#44968)
low version nodejs doesn't support nullish coalescing operator very well
PR Close #44968",Yes, the reason given in the text is that "low version nodejs doesn't support nullish coalescing operator very well."
204,"fix(forms): Correct empty validator to handle objects with a property `length: 0`. (#33729)
Form required validator should not reject objects that contain a length attribute set to zero.
Fixes #30718.
Co-authored-by: Dylan Hunn <dylhunn@gmail.com>
BREAKING CHANGE: objects with a length key set to zero will no longer validate as empty.
This is technically a breaking change, since objects with a key `length` and value `0` will no longer validate as empty. This is a very minor change, and any reliance on this behavior is probably a bug anyway.
PR Close #33729",Yes.
205,"fix(platform-browser): Make transfer state key typesafe. (#23020)
Make `StateKey` typesafe by narrowing the type.
BREAKING CHANGE: This may break invalid calls to `TransferState` methods.
This tightens parameter types of `TransferState` usage, and is a minor breaking change which may reveal existing problematic calls.
PR Close #23020",Yes, there is a reason in the text for the described change.
206,"fix(router): Update `Navigation#initialUrl` to match documentation and reality (#43863)
BREAKING CHANGE:
* The type of `initialUrl` is set to `string|UrlTree` but in reality,
the `Router` only sets it to a value that will always be `UrlTree`
* `initialUrl` is documented as ""The target URL passed into the
`Router#navigateByUrl()` call before navigation"" but the value
actually gets set to something completely different. It's set to the
current internal `UrlTree` of the Router at the time navigation
occurs.
With this change, there is no exact replacement for the old value of
`initialUrl` because it was enver intended to be exposed.
`Router.url` is likely the best replacement for this.
In more specific use-cases, tracking the `finalUrl` between successful
navigations can also be used as a replacement.
PR Close #43863",No
207,"fix(animations): implement missing transition delay (#44799)
fix the transition function accepting a delay in its AnimationOptions
input but not acting on it by adding such delay to all the transition's
timelines
(note: adding the delay to all the transition's timelines is the only
way to accomplish this since transitions have their own logic and do not
have their own timelines like other animation functions have)
resolves #29762
PR Close #44799",Yes, the reason for the change is described in the text.
208,"build: exclude devtools scope from generated changelogs (#44964)
The devtools scoped commits are not included in the repository's CHANGELOG.md
file as these commits are not references areas which are included in the
primary released artifacts.
PR Close #44964",No
209,"docs: update input-output-diagram.svg (#39900)
""deleteRequest"" is the *event* (not target) and ""crossOffItem"" is the *handler* of the event (not ""source"").
PR Close #39900",No
210,"build: setup OpenSSF Scorecard (#44960)
Set up OpenSSF Scorecard to begin tracking security metrics within the repo.
PR Close #44960",No
211,"docs: add po-ui to UI Components resources (#43689)
PR Close #43689",No
212,"refactor(docs-infra): add types to all the aio examples buttons (#44557)
add types to all the buttons in the angular.io examples to encourage
the best practice of always including a type per button (regardless
to whether it is in a form or now)
PR Close #44557",Yes
213,"refactor(docs-infra): remove outdated comments regarding CustomEvent (#44557)
remove the comments present in aio examples saying that for older
browsers such as IE CustomEvent could be necessary (as the the Event
constructor could be not available)
such comments are no longer necessary/relevant since the Event constructor
is available for all the supported browsers
PR Close #44557",Yes.
214,"refactor(docs-infra): fix template eslint issues in aio examples (#44557)
the aio examples have various eslint issues regarding template rules, those
are currently turned off and TODO comments have been added to them in the
examples eslintrc, fix such issues and remove the respective TODO comments
this also includes examples refactoring to use buttons for better accessibility,
this change tries to make the smallest amound of changes to the examples' behaviors
and designs/UI
PR Close #44557",Yes
215,"docs: describe your change... (#42899)
in the last Lines ViewEncapsulationComponent should be EmulatedEncapsulationComponent as there is no such  ViewEncapsulationComponent  exists in this example where as
ShadowDomEncapsulationComponent  contains NoEncapsulationComponent and EmulatedEncapsulationComponent
PR Close #42899",No
216,"docs: improve punctuation in animation sequence summary (#44567)
slightly improve the punctuation in the animation sequence summary present
in the complex animation sequences guide
PR Close #44567",Yes.
217,"docs(animations): add section about animating reordering list items (#44567)
add a section regarding reordering list items in the complex animation
sequences guide to help developers rememeber to use a `TrackByFunction`
whenever they are animating `*ngFor` list items which change their
ordering
as suggested here: https://github.com/angular/angular/issues/42750#issuecomment-979127165
relates to issue #28040 and #42750
PR Close #44567",Yes.
218,"feat(router): set stricter type for Route.title (#44939)
This commit changes the type of `Route.title` property from
`string | unknown` to `string | Type<Resolve<string>>`.
Fixes #44936
PR Close #44939",Yes, the reason for the change is given in the text.
219,"refactor(router): move types from config and interfaces to models (#44939)
This commit moves all types from `config.ts` and `interfaces.ts`
to `models.ts` to fix circular dependency.
PR Close #44939",Yes.
220,"docs: remove item from changelog that does not work (#44961)
After trying this feature, it turns out the approach does not work and we
will be reverting the commits. Note that the feature _never_ worked so it's
not a breaking change.
PR Close #44961",No
221,"build: update pullapprove (#44962)
Enable reviews for aleksanderbodurri again now that membership and review
assignments have been sorted.
PR Close #44962",No
222,"feat(compiler-cli): initial implementation of standalone components (#44812)
This commit implements the first phase of standalone components in the Angular
compiler. This mainly includes the scoping rules for standalone components
(`@Component({imports})`).
Significant functionality from the design is _not_ implemented by this PR,
including:
* imports of standalone components into NgModules.
* the provider aspect of standalone components
Future commits will address these issues, as we proceed with the design of
this feature.
PR Close #44812",No
223,"refactor(compiler-cli): extract template scoping logic into a function (#44812)
In preparation for standalone components, this commit moves the logic which
determines the potential set of components/directives/pipes in a template into
a separate function. This is a simple but crucial refactoring that breaks the
assumption that all template scopes come from NgModules.
PR Close #44812",No
224,"refactor(compiler-cli): split the 'annotations' package into sub-packages (#44812)
Previously each `DecoratorHandler` in the compiler was stored in a single file
in the 'annotations' package. The `ComponentDecoratorHandler` in particular was
several thousand lines long.
Prior to implementing the new standalone functionality for components, this
commit refactors 'annotations' to split these large files into their own build
targets with multiple separate files. This should make the implementation of
standalone significantly cleaner.
PR Close #44812",Yes.
225,"docs: remove duplicate closing tags in View Encapsulation file (#44958)
PR Close #44958",No
226,"docs: remove old commits from CHANGELOG.md (#44956)
This commit removes old DevTools-related commits that ended up in the CHANGELOG.md since the DevTools repo was merged into angular/angular one.
Closes #44953.
PR Close #44956",No
227,"refactor(compiler): add `@suppress {msgDescriptions}` if no description is present on an i18n message (#44787)
Refs http://b/214103351.
This happens if a user writes `<span i18n>Message</span>`. This is accepted as an internationalized message, but without a description. JSCompiler will throw an error in this situation because descriptions are generally required. Now, the Angular compiler will generate a suppression annotation so JSCompiler allows the syntax. This will ease an internal migration to JSCompiler-based i18n.
PR Close #44787",Yes.
228,"fix(devtools): change links to the angular repo (#44885)
Use proper reporting and source code links in the DevTools UI.
PR Close #44885",Yes, the reason for the change is described in the text.
229,"build: update pullapprove (#44954)
Update pullapprove to temporarily remove aleksanderbodurri from pullapprove configuration
while we correct the membership and review assignment's for the account.
PR Close #44954",Yes, the reason for the change is given in the text.
230,"fix(upgrade): Do not trigger duplicate navigation events from Angular Router (#43441)
This code mimics behavior that Google Analytics has been using to
prevent duplicate navigations. They set up their own `HybridRoutingService`
location sync to avoid duplicate navigations that came from the Angular
router. This would happen because the Angular router would trigger a
navigation, which would then get picked up by the `$locationShim`, which
would trigger a `$locationChangeStart`, which would then be picked up by
the `setUpLocationSync` watcher here, which would again trigger a
navigation in the Angular Router.
All of this can be prevented by checking if the `navigationId` exists on
the history state object. This property is added by the Angular router
during navigations.
fixes #21610
PR Close #43441",Yes.
231,"test(upgrade): update router upgrade tests to use fewer mocks (#43441)
This updates the router upgrade tests to use less mocked behavior. The
test upgrade location module is copied from the one that's used in the
common package. This update to the tests verifies more real behavior of
the upgrade module.
PR Close #43441",Yes.
232,"fix(platform-browser): do not run change detection when loading Hammer (#44921)
The Hammer.JS might be loaded asynchronously if the `HAMMER_LOADER` token is provided.
Its loading causes additional change detection cycles when the script `load` event is fired
and the `import()` promise resolves. Its loading doesn't have to require Angular running `tick()`
since the Hammer instance is created outside of the Angular zone anyway.
BREAKING CHANGE:
This change may cause a breaking change in unit tests that are implicitly depending on a specific
number and sequence of change detections in order for their assertions to pass.
PR Close #44921",No
233,"docs: remove banner after survey expiration (#44949)
The survey is now over. We can remove the banner.
PR Close #44949",Yes. The survey is over and they can remove the banner.
234,"release: cut the v14.0.0-next.1 release (#44951)
",No
235,"docs: release notes for the v13.2.1 release (#44950)
",No
236,"build(docs-infra): upgrade cli command docs sources to be7c79b5a (#44942)
Updating [angular#master](https://github.com/angular/angular/tree/master) from
[cli-builds#master](https://github.com/angular/cli-builds/tree/master).
##
Relevant changes in
[commit range](https://github.com/angular/cli-builds/compare/db5e7c82e...be7c79b5a):
**Modified**
- help/build.json
- help/test.json
PR Close #44942",No
237,"fix(forms): Update the typed forms migration to use FormArray<T> instead of FormArray<T[]>. (#44933)
Previously, `FormArray` accepted an array generic. Now it accepts the element type, so the migration must be update accordingly.
PR Close #44933",Yes, the reason for the change is described in the text.
238,"docs: update the survey expiration date (#44938)
Extend with a few more days since the survey is still open.
PR Close #44938",Yes, the survey is still open.
239,"fix(compiler-cli): ensure casing of logical paths is preserved (#44798)
The logical filesystem would store a cached result based on the canonical path,
where the cached value contains the physical path that was originally provided.
This meant that other physical paths with an identical canonical path would use
a cached result derived from another physical path.
This inconsistency is not known to result in actual issues but is primarily
being made as a performance improvement, as using the provided physical paths
as cache key avoids the need to canonicalize the path if its result is already
cached.
PR Close #44798",No
240,"refactor(compiler-cli): use relative imports into dts files as fallback in type-check files (#44798)
The generated imports should normally use module specifiers that are valid for
use in production code, where arbitrary relative imports into e.g. node_modules
are not allowed. For template type-checking code it is however acceptable to
use relative imports, as such files are never emitted to JS code. It is
desirable to allow a filesystem relative import as fallback if an import would
otherwise fail to be generated, as doing so allows fewer situations from
needing an inline type constructor.
PR Close #44798",No
241,"refactor(compiler): remove ViewEngine identifiers (#44676)
This commit removes the leftover `Identifiers` class that was used in the
ViewEngine compiler. The remaining usages of the `inlineInterpolate` and
`interpolate` instructions were refactored to make use of an
`InterpolationExpression` output expression to capture the argument list of an
interpolation expression. An attempt was made to refactor this further by
converting to the desired interpolation instruction immediately, but some
downstream consumers are designed in a way where the argument list itself is
needed, e.g. as other arguments need to be prepended/appended.
PR Close #44676",No
242,"docs(router): use Resolve interface for custom title resolver (#44934)
PR Close #44934",No
243,"build: fix test for useUnknownInCatch (#44935)
CI ran before the change to the tsconfig file
PR Close #44935",No
244,"docs(router): provide better typing for resolver example (#44932)
PR Close #44932",No
245,"fix(common): include query parameters for open HTTP requests in `verify` (#44917)
When `HttpTestingController.verify` is used to verify that there are not open,
unexpected requests it would throw an error with the method and URL of all pending
requests, excluding the query parameters. This is confusing, as e.g. `expectOne`
matches a URL including its query parameters and `expectOne` does include the
query parameters when it reports when no request could be matched.
This commit changes the error that is reported by `verify` to include the query
parameters.
Closes #19974
PR Close #44917",No
246,"fix(devtools): highlighter should only show the hovered component's name (#44863)
The used children property on a HTMLCollection does not contain text elements. Because of this, the highlighter overlay text never got fully cleared.
PR Close #44863",No
247,"docs: update devtools docs, and add to the list of available commit scope list (#44863)
PR Close #44863",No
248,"feat(common): support NgModule as an input to the NgComponentOutlet (#44815)
This commit updates the logic of the `NgComponentOutlet` class to allow passing an `NgModule` as an input instead of passing an `NgModule` factory.
DEPRECATED:
The `ngModuleFactory` input of the `NgComponentOutlet` directive is deprecated in favor of a newly added `ngModule` input. The `ngModule` input accepts references to the NgModule class directly, without the need to resolve module factory first.
PR Close #44815",No
249,"docs: fix incorrect title and tooltip in navigation (#44710)
Fixes #44589
In the navigation pane, the title and tooltip for the page,
Preparing component for translation, are incorrect. This PR
fixes this issue.
PR Close #44710",Yes, there is a reason in the text for the described change.
